"NCED Data Capture - Text Output File (Comma delineated)"
"None Data [Channel 3]"
"Aux Sensor Latency",0
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 11:26:53"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",9421.486
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\MASSA_Scan0001 (-500, 0, ) to (9940, 0, 900) FollowChannel.scp"
"Script Scan Type","Massa"
"Scan Number",2
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",200,200,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"Column Headers",2,"Number of header rows before data begins"
"Pass","Ping","X","Y","AUX_Z","AUX Value","ClockTime","RunTime H:M:S","RunTime Sec","ContinuousTime Sec"

17,9,7070.046,-889.938,857.792,857.307
17,10,7070.046,-889.938,857.792,857.309
17,11,7070.046,-889.938,857.792,857.308
17,12,7070.046,-889.938,857.792,857.308
17,13,7070.046,-889.938,857.792,857.307
17,14,7070.046,-889.938,857.792,857.307
17,15,7070.046,-889.938,857.792,857.306
17,16,7070.046,-889.938,857.792,857.307
17,17,7070.046,-889.938,857.79,857.303
17,18,7070.046,-889.938,857.792,857.308
17,19,7070.046,-889.938,857.792,857.308
17,20,7070.046,-889.938,857.792,857.311,"11:28:47","0:00:00",0,9536.435166
18,1,7558.046,-741.938,857.792,857.311,"11:28:54","0:00:00",0,9542.987182
18,2,7558.046,-741.938,857.792,857.31
18,3,7558.046,-741.938,857.792,857.308
18,4,7558.046,-741.938,857.792,857.312
18,5,7558.046,-741.938,857.792,857.31
18,6,7558.046,-741.938,857.792,857.309
18,7,7558.046,-741.938,857.792,857.31
18,8,7558.046,-741.938,857.792,857.307
18,9,7558.046,-741.938,857.792,857.312
18,10,7558.046,-741.938,857.792,857.311
18,11,7558.046,-741.938,857.792,857.308
18,12,7558.046,-741.938,857.792,857.312
18,13,7558.046,-741.938,857.792,857.312
18,14,7558.046,-741.938,857.792,857.31
18,15,7558.046,-741.938,857.792,857.311
18,16,7558.046,-741.938,857.792,857.311
18,17,7558.046,-741.938,857.792,857.309
18,18,7558.046,-741.938,857.792,857.311
18,19,7558.046,-741.938,857.792,857.309
18,20,7558.046,-741.938,857.792,857.31,"11:28:55","0:00:00",0,9543.9374
19,1,8045.952,-363.969,857.792,857.311,"11:29:02","0:00:00",0,9550.619299
19,2,8045.952,-363.969,857.792,857.313
19,3,8045.952,-363.969,857.792,857.311
19,4,8045.952,-363.969,857.79,857.309
19,5,8045.952,-363.969,857.792,857.312
19,6,8045.952,-363.969,857.792,857.31
19,7,8045.952,-363.969,857.79,857.308
19,8,8045.952,-363.969,857.79,857.308
19,9,8045.952,-363.969,857.79,857.307
19,10,8045.952,-363.969,857.79,857.309
19,11,8045.952,-363.969,857.792,857.312
19,12,8045.952,-363.969,857.79,857.311
19,13,8045.952,-363.969,857.792,857.31
19,14,8045.952,-363.969,857.792,857.311
19,15,8045.952,-363.969,857.792,857.314
19,16,8045.952,-363.969,857.79,857.31
19,17,8045.952,-363.969,857.792,857.312
19,18,8045.952,-363.969,857.792,857.313
19,19,8045.952,-363.969,857.792,857.314
19,20,8045.952,-363.969,857.792,857.313,"11:29:03","0:00:00",0,9551.586174
20,1,8533.963,99.969,857.792,857.313,"11:29:09","0:00:00",0,9558.135214
20,2,8533.963,99.969,857.792,857.313
20,3,8533.963,99.969,857.792,857.313
20,4,8533.963,99.969,857.792,857.312
20,5,8533.963,99.969,857.792,857.312
20,6,8533.963,99.969,857.792,857.313
20,7,8533.963,99.969,857.792,857.311
20,8,8533.963,99.969,857.792,857.311
20,9,8533.963,99.969,857.792,857.312
20,10,8533.963,99.969,857.792,857.311
20,11,8533.963,99.969,857.792,857.31
20,12,8533.963,99.969,857.792,857.31
20,13,8533.963,99.969,857.792,857.311
20,14,8533.963,99.969,857.792,857.312
20,15,8533.963,99.969,857.792,857.311
20,16,8533.963,99.969,857.792,857.311
20,17,8533.963,99.969,857.792,857.31
20,18,8533.963,99.969,857.792,857.31
20,19,8533.963,99.969,857.792,857.313
20,20,8533.963,99.969,857.792,857.312,"11:29:10","0:00:00",0,9559.085436
21,1,9021.963,472,857.792,857.306,"11:29:16","0:00:00",0,9565.364995
21,2,9021.963,472,857.792,857.31
21,3,9021.963,472,857.792,857.31
21,4,9021.963,472,857.792,857.309
21,5,9021.963,472,857.792,857.31
21,6,9021.963,472,857.792,857.309
21,7,9021.963,472,857.79,857.303
21,8,9021.963,472,857.792,857.306
21,9,9021.963,472,857.792,857.309
21,10,9021.963,472,857.792,857.307
21,11,9021.963,472,857.792,857.312
21,12,9021.963,472,857.79,857.307
21,13,9021.963,472,857.79,857.31
21,14,9021.963,472,857.792,857.309
21,15,9021.963,472,857.792,857.311
21,16,9021.963,472,857.792,857.31
21,17,9021.963,472,857.792,857.309
21,18,9021.963,472,857.79,857.311
21,19,9021.963,472,857.792,857.311
21,20,9021.963,472,857.792,857.311,"11:29:17","0:00:00",0,9566.321089
22,1,9509.963,610.031,857.79,857.31,"11:29:24","0:00:00",0,9572.566499
22,2,9509.963,610.031,857.792,857.31
22,3,9509.963,610.031,857.79,857.311
22,4,9509.963,610.031,857.792,857.313
22,5,9509.963,610.031,857.79,857.31
22,6,9509.963,610.031,857.792,857.31
22,7,9509.963,610.031,857.792,857.311
22,8,9509.963,610.031,857.792,857.311
22,9,9509.963,610.031,857.792,857.308
22,10,9509.963,610.031,857.79,857.308
22,11,9509.963,610.031,857.79,857.31
22,12,9509.963,610.031,857.79,857.309
22,13,9509.963,610.031,857.792,857.311
22,14,9509.963,610.031,857.79,857.308
22,15,9509.963,610.031,857.79,857.307
22,16,9509.963,610.031,857.792,857.312
22,17,9509.963,610.031,857.792,857.312
22,18,9509.963,610.031,857.792,857.312
22,19,9509.963,610.031,857.792,857.313
22,20,9509.963,610.031,857.79,857.309,"11:29:24","0:00:00",0,9573.517663
23,1,9689.963,610.031,857.792,857.314,"11:29:29","0:00:00",0,9578.148697
23,2,9689.963,610.031,857.79,857.309
23,3,9689.963,610.031,857.792,857.313
23,4,9689.963,610.031,857.792,857.315
23,5,9689.963,610.031,857.792,857.31
23,6,9689.963,610.031,857.79,857.31
