"NCED Data Capture - Text Output File (Comma delineated)"
"Massa Data [Channel 1]"
"Massa Target","Massa Target"
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 11:26:53"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",9421.486
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\MASSA_Scan0001 (-500, 0, ) to (9940, 0, 900) FollowChannel.scp"
"Script Scan Type","Massa"
"Scan Number",2
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",200,200,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"Column Headers",2,"Number of header rows before data begins"
"Pass","Ping","X","Y","MassaProbeZ","Massa Target","ClockTime","RunTime H:M:S","RunTime Sec","ContinuousTime Sec"

15,1,6344,-238,750,330.1,"11:28:32","0:00:00",0,9520.775377
15,2,6344,-238,750,329.2
15,3,6344,-238,750,329.6
15,4,6344,-238,750,339.2
15,5,6344,-238,750,339.7
15,6,6344,-238,750,334.5
15,7,6344,-238,750,334.8
15,8,6344,-238,750,334
15,9,6344,-238,750,334
15,10,6344,-238,750,334.1
15,11,6344,-238,750,335.6
15,12,6344,-238,750,335.9
15,13,6344,-238,750,335.8
15,14,6344,-238,750,336.4
15,15,6344,-238,750,336.1
15,16,6344,-238,750,336.3
15,17,6344,-238,750,336
15,18,6344,-238,750,336.1
15,19,6344,-238,750,334.8
15,20,6344,-238,750,334.9,"11:28:33","0:00:00",0,9521.725635
16,1,6832,-611,750,331.3,"11:28:39","0:00:00",0,9528.09207
16,2,6832,-611,750,330.4
16,3,6832,-611,750,330.4
16,4,6832,-611,750,330.3
16,5,6832,-611,750,330.6
16,6,6832,-611,750,330.2
16,7,6832,-611,750,331.5
16,8,6832,-611,750,331.5
16,9,6832,-611,750,331.3
16,10,6832,-611,750,328.1
16,11,6832,-611,750,328.2
16,12,6832,-611,750,331.8
16,13,6832,-611,750,331.9
16,14,6832,-611,750,331.8
16,15,6832,-611,750,330.2
16,16,6832,-611,750,330
16,17,6832,-611,750,326.2
16,18,6832,-611,750,326.3
16,19,6832,-611,750,326.3
16,20,6832,-611,750,329.8,"11:28:40","0:00:00",0,9529.049131
17,1,7320,-749.9,750,326.4,"11:28:46","0:00:00",0,9535.462466
17,2,7320,-749.9,750,326.4
17,3,7320,-749.9,750,326.4
17,4,7320,-749.9,750,326.2
17,5,7320,-749.9,750,326.3
17,6,7320,-749.9,750,326.3
17,7,7320,-749.9,750,324.5
17,8,7320,-749.9,750,324.8
17,9,7320,-749.9,750,324.2
17,10,7320,-749.9,750,326.3
17,11,7320,-749.9,750,326.1
17,12,7320,-749.9,750,326.4
17,13,7320,-749.9,750,326.3
17,14,7320,-749.9,750,326.6
17,15,7320,-749.9,750,326.5
17,16,7320,-749.9,750,326.7
17,17,7320,-749.9,750,326.3
17,18,7320,-749.9,750,326.7
17,19,7320,-749.9,750,326.2
17,20,7320,-749.9,750,325.4,"11:28:47","0:00:00",0,9536.435166
18,1,7808,-601.9,750,325.6,"11:28:54","0:00:00",0,9542.987182
18,2,7808,-601.9,750,325.8
18,3,7808,-601.9,750,325.4
18,4,7808,-601.9,750,326
18,5,7808,-601.9,750,325.5
18,6,7808,-601.9,750,326
18,7,7808,-601.9,750,323.3
18,8,7808,-601.9,750,324.1
18,9,7808,-601.9,750,326.2
18,10,7808,-601.9,750,325.4
18,11,7808,-601.9,750,325.5
18,12,7808,-601.9,750,323.3
18,13,7808,-601.9,750,323.4
18,14,7808,-601.9,750,326
18,15,7808,-601.9,750,324.7
18,16,7808,-601.9,750,325.4
18,17,7808,-601.9,750,325.4
18,18,7808,-601.9,750,325.7
18,19,7808,-601.9,750,324.4
18,20,7808,-601.9,750,323.6,"11:28:55","0:00:00",0,9543.9374
19,1,8296,-224,750,324,"11:29:02","0:00:00",0,9550.619299
19,2,8296,-224,750,324.2
19,3,8296,-224,750,324.6
19,4,8296,-224,750,322.5
19,5,8296,-224,750,322.6
19,6,8296,-224,750,322.5
19,7,8296,-224,750,321.9
19,8,8296,-224,750,322.4
19,9,8296,-224,750,321.6
19,10,8296,-224,750,321.3
19,11,8296,-224,750,320.9
19,12,8296,-224,750,322.5
19,13,8296,-224,750,322.6
19,14,8296,-224,750,325.1
19,15,8296,-224,750,325
19,16,8296,-224,750,325.3
19,17,8296,-224,750,323.2
19,18,8296,-224,750,323.8
19,19,8296,-224,750,323
19,20,8296,-224,750,322.5,"11:29:03","0:00:00",0,9551.586174
20,1,8784,240,750,323.8,"11:29:09","0:00:00",0,9558.135214
20,2,8784,240,750,322.9
20,3,8784,240,750,322.9
20,4,8784,240,750,322.4
20,5,8784,240,750,322.3
20,6,8784,240,750,322.2
20,7,8784,240,750,321.8
20,8,8784,240,750,322
20,9,8784,240,750,324.3
20,10,8784,240,750,324.3
20,11,8784,240,750,324.1
20,12,8784,240,750,325.5
20,13,8784,240,750,325.5
20,14,8784,240,750,324.6
20,15,8784,240,750,324.5
20,16,8784,240,750,324.5
20,17,8784,240,750,322.4
20,18,8784,240,750,322.3
20,19,8784,240,750,321.8
20,20,8784,240,750,322.1,"11:29:10","0:00:00",0,9559.085436
21,1,9272,612,750,324.8,"11:29:16","0:00:00",0,9565.364995
21,2,9272,612,750,324
21,3,9272,612,750,324.2
21,4,9272,612,750,323.9
21,5,9272,612,750,323.7
21,6,9272,612,750,323.6
21,7,9272,612,750,326.6
21,8,9272,612,750,326.7
21,9,9272,612,750,324.4
21,10,9272,612,750,324
21,11,9272,612,750,323.9
21,12,9272,612,750,326.1
21,13,9272,612,750,326.3
21,14,9272,612,750,323.6
21,15,9272,612,750,322.9
21,16,9272,612,750,323.3
21,17,9272,612,750,323.7
21,18,9272,612,750,323.6
21,19,9272,612,750,322
21,20,9272,612,750,321.1,"11:29:17","0:00:00",0,9566.321089
22,1,9760,750,750,320.3,"11:29:24","0:00:00",0,9572.566499
22,2,9760,750,750,320.3
22,3,9760,750,750,322
22,4,9760,750,750,321.7
22,5,9760,750,750,323.3
22,6,9760,750,750,323.2
22,7,9760,750,750,323.5
22,8,9760,750,750,324.9
22,9,9760,750,750,325.1
22,10,9760,750,750,323.1
22,11,9760,750,750,322.7
22,12,9760,750,750,323.1
22,13,9760,750,750,323.6
22,14,9760,750,750,323
22,15,9760,750,750,321.2
22,16,9760,750,750,320.4
22,17,9760,750,750,321
22,18,9760,750,750,325.2
22,19,9760,750,750,325.3
22,20,9760,750,750,324.3,"11:29:24","0:00:00",0,9573.517663
23,1,9940,750,750,321.3,"11:29:29","0:00:00",0,9578.148697
23,2,9940,750,750,321.5
23,3,9940,750,750,321.6
23,4,9940,750,750,323.3
23,5,9940,750,750,323.3
23,6,9940,750,750,325.4
23,7,9940,750,750,325.3
23,8,9940,750,750,325.1
23,9,9940,750,750,324.4
23,10,9940,750,750,324.1
23,11,9940,750,750,324.1
23,12,9940,750,750,323.9
23,13,9940,750,750,323.9
23,14,9940,750,750,323.2
23,15,9940,750,750,323
23,16,9940,750,750,318.8
23,17,9940,750,750,319
23,18,9940,750,750,319
23,19,9940,750,750,322.1
23,20,9940,750,750,322.1,"11:29:30","0:00:00",0,9579.106746
